"Name","Year","medianGreenup","minJulianWeek","maxJulianWeek","totalSurveys","numGoodWeeks","numWeeksPostSolsticeWindow","numWeeksPostGreenupWindow","pctSolstice","densSolstice","massSolstice","pctPostGU","densPostGU","massPostGU","pctPeakDate","densPeakDate","massPeakDate","pctPeakDateWindow","densPeakDateWindow","massPeakDateWindow","pctPeakDateGreenupWindow","densPeakDateGreenupWindow","massPeakDateGreenupWindow","pctRollingPeakDateWindow","densRollingPeakDateWindow","massRollingPeakDateWindow","Longitude","Latitude","ebirdCounty","npn_firstLeaf","npnGDD_May1","daymetGDD_May1","daymetGDD_Jun1","date2000GDD","precipThruJun1"
"Coweeta - BB",2013,135,193,193,385,1,1,1,4.93506493506494,0.0493506493506494,0.508051010797731,4.93506493506494,0.0493506493506494,0.508051010797731,193,193,193,193,193,193,193,193,193,NA,NA,NA,-83.475,35.041667,NA,76,NA,546.75,941,212,1252
"Coweeta - BB",2014,135,137,186,1324,5,2,2,15.3836754643206,0.206256109481916,3.74645524510172,15.3836754643206,0.206256109481916,3.74645524510172,137,158,172,137,158,172,172,172,172,144,158,172,-83.475,35.041667,NA,75,NA,562.75,1016,207,1020
"Coweeta - BB",2015,135,137,193,1042,3,1,2,8.27586206896552,0.0896551724137931,0.873634812738763,10.5895439377086,0.114182424916574,1.37074559329355,137,137,165,137,137,165,165,165,165,165,165,165,-83.475,35.041667,NA,72,NA,643.75,1115.5,201,868
"Coweeta - BB",2016,135,130,200,849,8,3,4,6.89520217951055,0.075740795259658,0.802837887325347,8.34936773632782,0.0907039015294893,1.45908560568518,151,151,165,151,151,165,165,165,165,151,151,165,-83.475,35.041667,NA,73,1282.19311523438,690.75,1113.75,200,674
"Coweeta - BB",2017,135,130,193,1234,5,2,2,3.58420395185101,0.0358420395185101,0.237495206534352,3.58420395185101,0.0358420395185101,0.237495206534352,158,158,158,158,158,158,179,179,179,158,158,144,-83.475,35.041667,NA,52,1683.32263183594,866.75,1290.25,194,915
"Coweeta - BB",2018,135,130,186,874,7,2,3,14.2232086239696,0.188902980342422,1.53756691572441,13.1219858259414,0.164249496473492,1.71459985209494,179,179,179,179,179,179,179,179,179,151,165,165,-83.475,35.041667,NA,53,1197.30517578125,570.25,1068.5,203,1429
"Coweeta - BS",2002,128,151,179,597,3,1,2,7.69230769230769,0.0871794871794872,0.134480064218395,8.79898403483309,0.0954765360425738,0.658959942472176,165,165,165,165,165,165,165,165,165,165,165,165,-83.458333,35.025,NA,73,NA,757.75,1207.75,195,815
"Coweeta - BS",2003,128,123,186,1406,5,2,3,5.75647038388049,0.0644780267500434,1.2562862767676,6.81588289051369,0.0819315138241985,1.22467862571286,158,158,186,158,158,186,158,158,186,172,172,172,-83.458333,35.025,NA,70,NA,698.25,1145.75,201,994
"Coweeta - BS",2004,128,123,186,1563,5,2,3,24.354006562473,0.318911363440117,3.67094416728145,26.8517156276359,0.341057681783857,4.4087226974501,186,186,158,186,186,158,186,186,158,172,172,172,-83.458333,35.025,NA,72,NA,669.25,1167.75,198,627
"Coweeta - BS",2005,128,137,186,1154,4,2,3,7.43279330603525,0.0816272031333452,0.982016356851269,10.3574943879315,0.131429629675104,1.21267030829213,158,158,158,158,158,158,158,158,158,158,158,172,-83.458333,35.025,NA,62,NA,698.25,1111,201,714
"Coweeta - BS",2006,128,130,186,1134,4,2,3,8.85276196184197,0.100926480871042,1.57441374270288,13.5430373211837,0.153663058122223,1.90315370578349,158,158,158,158,158,158,158,158,158,158,158,172,-83.458333,35.025,NA,61,NA,778.25,1207.75,195,578
"Coweeta - BS",2007,128,123,200,1567,6,3,4,5.31277011426203,0.0557523730586308,0.264281600009173,7.06293579465175,0.0735306977044209,0.502283733458359,158,158,158,158,158,158,158,158,158,158,158,158,-83.458333,35.025,NA,67,NA,765.75,1251.75,193,472
"Coweeta - BS",2008,128,158,186,884,3,2,3,15.7983354673496,0.181331626120359,1.48244251552972,18.2245313372074,0.216272366131521,1.64668816373213,158,158,172,158,158,172,158,158,172,172,172,172,-83.458333,35.025,NA,73,NA,685.75,1131,198,911
"Coweeta - BS",2009,128,123,186,1260,5,2,3,8.02865612648221,0.120609141909983,1.91925532239409,9.70026350461133,0.130471970759488,1.69904345829752,137,137,172,137,137,172,158,172,172,158,158,158,-83.458333,35.025,NA,70,NA,728.5,1184.25,195,922
"Coweeta - BS",2010,128,137,200,1066,5,3,4,15.8101526897685,0.219441918713726,0.738203938980711,15.4087508809627,0.207195075398931,1.84525729245563,137,137,158,137,137,158,172,172,158,158,158,158,-83.458333,35.025,NA,83,NA,609.25,1113.75,196,827
"Coweeta - BS",2011,128,137,207,3226,10,4,6,3.20430672939806,0.0376700427022631,0.52752345512817,4.20179110763982,0.04690588858489,0.879426262102465,144,144,144,144,144,144,158,158,158,144,144,151,-83.458333,35.025,NA,71,NA,735.5,1213.5,192,946
"Coweeta - BS",2012,128,172,193,1247,2,2,2,2.90392900446302,0.0329308877021902,0.313625047728013,2.90392900446302,0.0329308877021902,0.313625047728013,172,172,172,172,172,172,172,172,172,NA,NA,NA,-83.458333,35.025,NA,57,NA,924.25,1432.5,184,967
"Coweeta - BS",2013,128,193,193,410,1,1,1,5.36585365853659,0.0536585365853659,0.17624880696977,5.36585365853659,0.0536585365853659,0.17624880696977,193,193,193,193,193,193,193,193,193,NA,NA,NA,-83.458333,35.025,NA,76,NA,601.5,1018,206,1185
"Coweeta - BS",2014,128,137,207,2135,9,4,6,12.147220521889,0.173677243770082,1.41911444839333,13.5270857710209,0.175177847724546,1.49986146511421,144,144,144,144,144,144,207,200,179,158,200,158,-83.458333,35.025,NA,75,NA,605.5,1077,202,918
"Coweeta - BS",2015,128,123,200,2195,10,5,7,5.93059369382684,0.0679019090820667,1.35318219270583,7.92718500423152,0.0923485170146539,1.58940744292534,158,158,193,158,158,193,158,158,193,158,158,165,-83.458333,35.025,NA,72,NA,697.75,1190.75,195,806
"Coweeta - BS",2016,128,130,193,846,5,2,3,2.97569895010027,0.0326471629114073,0.375366153412501,6.98379930006685,0.0842647752742716,0.932095911325377,137,137,158,137,137,158,158,158,158,137,137,158,-83.458333,35.025,NA,73,1326.48168945312,744.25,1188.25,194,651
"Coweeta - BS",2017,128,123,193,1314,5,2,2,1.22768248623242,0.0122768248623242,0.0398250031017589,1.22768248623242,0.0122768248623242,0.0398250031017589,151,151,151,151,151,151,193,193,193,137,137,137,-83.458333,35.025,NA,47,1839.06799316406,937.75,1386.5,188,821
"Coweeta - BS",2018,128,130,130,244,1,0,0,NA,NA,NA,NA,NA,NA,130,130,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.458333,35.025,NA,53,1327.22021484375,642.75,1167.25,196,1321
"Coweeta - RK",2002,127,151,179,746,3,1,2,0.772200772200772,0.00772200772200772,0.0983505241765261,7.79350779350779,0.0871943371943372,0.646646229430471,151,151,151,151,151,151,165,165,165,165,165,165,-83.291667,35.075,NA,75,NA,778.75,1231,193,781
"Coweeta - RK",2003,127,123,186,1345,5,2,3,3.68335368335368,0.0405372405372405,0.31739468392291,3.93705060371727,0.0418396418396418,0.515045222973682,144,144,158,144,144,158,158,158,158,144,144,158,-83.291667,35.075,NA,72,NA,733,1192.75,197,1012
"Coweeta - RK",2004,127,144,186,1167,4,2,3,12.2749042145594,0.164355842911877,2.42003421819435,12.9294063417151,0.159239436113437,2.01123679876362,144,144,172,144,144,172,186,186,172,158,158,172,-83.291667,35.075,NA,76,NA,672.5,1184.25,196,646
"Coweeta - RK",2005,127,137,186,745,3,1,2,3.9647577092511,0.0484581497797357,0.133853000940556,9.03632076333924,0.11759007074049,0.868158981156507,158,158,158,158,158,158,158,158,158,158,158,158,-83.291667,35.075,NA,67,NA,697.25,1109.5,200,714
"Coweeta - RK",2006,127,130,186,793,3,1,2,9.56175298804781,0.111553784860558,0.505440077359811,12.4049899692012,0.144429374699782,1.46464504717959,130,130,158,158,158,158,158,158,158,158,158,158,-83.291667,35.075,NA,65,NA,794.75,1239,194,571
"Coweeta - RK",2007,127,123,200,1648,6,3,4,2.34134886179496,0.024652645990936,0.107753821845522,3.00156324776971,0.0318346802227393,0.21970426547809,137,137,137,137,137,137,158,158,158,137,137,158,-83.291667,35.075,NA,70,NA,756.25,1238.25,193,561
"Coweeta - RK",2008,127,158,200,1107,4,3,4,8.92676073404148,0.111317303688229,0.741080035010716,12.8288995468136,0.164342996353533,1.01770143390593,158,158,158,158,158,158,158,158,158,172,172,172,-83.291667,35.075,NA,75,NA,689.5,1141,197,808
